"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_ziek__of_afmelding: 0
contacten_onderwerp_boolean_ziek__of_afmelding: 0
",828,10.6372045220966,"real"
"2",1,"IV: 
contacten_onderwerp_ziek__of_afmelding: 1
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",256,10.3980503655565,"real"
"3",1,"IV: 
contacten_onderwerp_ziek__of_afmelding: 2
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",87,7.74021352313167,"real"
"4",1,"IV: 
contacten_onderwerp_ziek__of_afmelding: 3
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",41,7.16783216783217,"real"
"5",1,"IV: 
contacten_onderwerp_ziek__of_afmelding: 4
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",20,7.16845878136201,"real"
"6",1,"IV: 
contacten_onderwerp_ziek__of_afmelding: 5
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",6,4.61538461538461,"real"
"7",2,"IV: 
contacten_onderwerp_ziek__of_afmelding: 0
contacten_onderwerp_boolean_ziek__of_afmelding: 0
",838,10.7656731757451,"real"
"8",2,"IV: 
contacten_onderwerp_ziek__of_afmelding: 1
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",235,9.5450852965069,"real"
"9",2,"IV: 
contacten_onderwerp_ziek__of_afmelding: 2
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",110,9.7864768683274,"real"
"10",2,"IV: 
contacten_onderwerp_ziek__of_afmelding: 3
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",35,6.11888111888112,"real"
"11",2,"IV: 
contacten_onderwerp_ziek__of_afmelding: 4
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",16,5.73476702508961,"real"
"12",2,"IV: 
contacten_onderwerp_ziek__of_afmelding: 5
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",4,3.07692307692308,"real"
"13",3,"IV: 
contacten_onderwerp_ziek__of_afmelding: 0
contacten_onderwerp_boolean_ziek__of_afmelding: 0
",811,10.4188078108941,"real"
"14",3,"IV: 
contacten_onderwerp_ziek__of_afmelding: 1
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",252,10.2355808285946,"real"
"15",3,"IV: 
contacten_onderwerp_ziek__of_afmelding: 15
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",1,25,"real"
"16",3,"IV: 
contacten_onderwerp_ziek__of_afmelding: 2
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",92,8.18505338078292,"real"
"17",3,"IV: 
contacten_onderwerp_ziek__of_afmelding: 3
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",54,9.44055944055944,"real"
"18",3,"IV: 
contacten_onderwerp_ziek__of_afmelding: 4
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",22,7.88530465949821,"real"
"19",3,"IV: 
contacten_onderwerp_ziek__of_afmelding: 5
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",6,4.61538461538461,"real"
"20",4,"IV: 
contacten_onderwerp_ziek__of_afmelding: 0
contacten_onderwerp_boolean_ziek__of_afmelding: 0
",798,10.2517985611511,"real"
"21",4,"IV: 
contacten_onderwerp_ziek__of_afmelding: 1
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",250,10.1543460601137,"real"
"22",4,"IV: 
contacten_onderwerp_ziek__of_afmelding: 10
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",2,9.09090909090909,"real"
"23",4,"IV: 
contacten_onderwerp_ziek__of_afmelding: 2
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",95,8.45195729537367,"real"
"24",4,"IV: 
contacten_onderwerp_ziek__of_afmelding: 3
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",57,9.96503496503496,"real"
"25",4,"IV: 
contacten_onderwerp_ziek__of_afmelding: 4
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",27,9.67741935483871,"real"
"26",4,"IV: 
contacten_onderwerp_ziek__of_afmelding: 5
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",9,6.92307692307692,"real"
"27",5,"IV: 
contacten_onderwerp_ziek__of_afmelding: 0
contacten_onderwerp_boolean_ziek__of_afmelding: 0
",803,10.3160328879753,"real"
"28",5,"IV: 
contacten_onderwerp_ziek__of_afmelding: 1
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",235,9.5450852965069,"real"
"29",5,"IV: 
contacten_onderwerp_ziek__of_afmelding: 10
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",1,4.54545454545455,"real"
"30",5,"IV: 
contacten_onderwerp_ziek__of_afmelding: 2
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",120,10.6761565836299,"real"
"31",5,"IV: 
contacten_onderwerp_ziek__of_afmelding: 20
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",1,100,"real"
"32",5,"IV: 
contacten_onderwerp_ziek__of_afmelding: 3
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",45,7.86713286713287,"real"
"33",5,"IV: 
contacten_onderwerp_ziek__of_afmelding: 4
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",22,7.88530465949821,"real"
"34",5,"IV: 
contacten_onderwerp_ziek__of_afmelding: 5
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",11,8.46153846153846,"real"
"35",6,"IV: 
contacten_onderwerp_ziek__of_afmelding: 0
contacten_onderwerp_boolean_ziek__of_afmelding: 0
",774,9.94347379239466,"real"
"36",6,"IV: 
contacten_onderwerp_ziek__of_afmelding: 1
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",242,9.82940698619009,"real"
"37",6,"IV: 
contacten_onderwerp_ziek__of_afmelding: 10
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",2,9.09090909090909,"real"
"38",6,"IV: 
contacten_onderwerp_ziek__of_afmelding: 15
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",1,25,"real"
"39",6,"IV: 
contacten_onderwerp_ziek__of_afmelding: 2
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",113,10.0533807829181,"real"
"40",6,"IV: 
contacten_onderwerp_ziek__of_afmelding: 3
contacten_onderwerp_boolean_ziek__of_afmelding: 1
",65,11.3636363636364,"real"
